+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 20 |       NEW |     READY |
|                 0 | 20 |     READY |   RUNNING |
|                 7 | 20 |   RUNNING |   WAITING |
|                 7 | 10 |     READY |   RUNNING |
|                12 | 10 |   RUNNING |   WAITING |
|                19 | 20 |   WAITING |     READY |
|                19 | 20 |     READY |   RUNNING |
|                22 | 10 |   WAITING |     READY |
|                26 | 20 |   RUNNING |   WAITING |
|                26 | 10 |     READY |   RUNNING |
|                31 | 10 |   RUNNING |   WAITING |
|                38 | 20 |   WAITING |     READY |
|                38 | 20 |     READY |   RUNNING |
|                41 | 10 |   WAITING |     READY |
|                45 | 20 |   RUNNING |   WAITING |
|                45 | 10 |     READY |   RUNNING |
|                50 | 30 |       NEW |     READY |
|                50 | 10 |   RUNNING |   WAITING |
|                50 | 30 |     READY |   RUNNING |
|                57 | 20 |   WAITING |     READY |
|                60 | 10 |   WAITING |     READY |
|                60 | 30 |   RUNNING |   WAITING |
|                60 | 20 |     READY |   RUNNING |
|                67 | 20 |   RUNNING |   WAITING |
|                67 | 10 |     READY |   RUNNING |
|                72 | 10 |   RUNNING |   WAITING |
|                75 | 30 |   WAITING |     READY |
|                75 | 30 |     READY |   RUNNING |
|                79 | 20 |   WAITING |     READY |
|                82 | 10 |   WAITING |     READY |
|                85 | 30 |   RUNNING |   WAITING |
|                85 | 20 |     READY |   RUNNING |
|                92 | 20 |   RUNNING |   WAITING |
|                92 | 10 |     READY |   RUNNING |
|                97 | 10 |   RUNNING |   WAITING |
|               100 | 30 |   WAITING |     READY |
|               100 | 30 |     READY |   RUNNING |
|               104 | 20 |   WAITING |     READY |
|               107 | 10 |   WAITING |     READY |
|               110 | 30 |   RUNNING |   WAITING |
|               110 | 20 |     READY |   RUNNING |
|               117 | 20 |   RUNNING |   WAITING |
|               117 | 10 |     READY |   RUNNING |
|               122 | 10 |   RUNNING |   WAITING |
|               125 | 30 |   WAITING |     READY |
|               125 | 30 |     READY |   RUNNING |
|               129 | 20 |   WAITING |     READY |
|               132 | 10 |   WAITING |     READY |
|               135 | 30 |   RUNNING |   WAITING |
|               135 | 20 |     READY |   RUNNING |
|               142 | 20 |   RUNNING |   WAITING |
|               142 | 10 |     READY |   RUNNING |
|               147 | 10 |   RUNNING |   WAITING |
|               150 | 30 |   WAITING |     READY |
|               150 | 30 |     READY |   RUNNING |
|               154 | 20 |   WAITING |     READY |
|               157 | 10 |   WAITING |     READY |
|               160 | 30 |   RUNNING |   WAITING |
|               160 | 20 |     READY |   RUNNING |
|               167 | 20 |   RUNNING |   WAITING |
|               167 | 10 |     READY |   RUNNING |
|               172 | 10 |   RUNNING |   WAITING |
|               175 | 30 |   WAITING |     READY |
|               175 | 30 |     READY |   RUNNING |
|               179 | 20 |   WAITING |     READY |
|               182 | 10 |   WAITING |     READY |
|               185 | 30 |   RUNNING |   WAITING |
|               185 | 20 |     READY |   RUNNING |
|               192 | 20 |   RUNNING |   WAITING |
|               192 | 10 |     READY |   RUNNING |
|               197 | 10 |   RUNNING |   WAITING |
|               200 | 30 |   WAITING |     READY |
|               200 | 30 |     READY |   RUNNING |
|               204 | 20 |   WAITING |     READY |
|               207 | 10 |   WAITING |     READY |
|               210 | 30 |   RUNNING |   WAITING |
|               210 | 20 |     READY |   RUNNING |
|               217 | 20 |   RUNNING |   WAITING |
|               217 | 10 |     READY |   RUNNING |
|               222 | 10 |   RUNNING |   WAITING |
|               225 | 30 |   WAITING |     READY |
|               225 | 30 |     READY |   RUNNING |
|               229 | 20 |   WAITING |     READY |
|               232 | 10 |   WAITING |     READY |
|               235 | 30 |   RUNNING |   WAITING |
|               235 | 20 |     READY |   RUNNING |
|               242 | 20 |   RUNNING |   WAITING |
|               242 | 10 |     READY |   RUNNING |
|               247 | 10 |   RUNNING |   WAITING |
|               250 | 30 |   WAITING |     READY |
|               250 | 30 |     READY |   RUNNING |
|               254 | 20 |   WAITING |     READY |
|               257 | 10 |   WAITING |     READY |
|               260 | 30 |   RUNNING |   WAITING |
|               260 | 20 |     READY |   RUNNING |
|               267 | 20 |   RUNNING |   WAITING |
|               267 | 10 |     READY |   RUNNING |
|               272 | 10 |   RUNNING |   WAITING |
|               275 | 30 |   WAITING |     READY |
|               275 | 30 |     READY |   RUNNING |
|               279 | 20 |   WAITING |     READY |
|               282 | 10 |   WAITING |     READY |
|               285 | 30 |   RUNNING |   WAITING |
|               285 | 20 |     READY |   RUNNING |
|               292 | 20 |   RUNNING |   WAITING |
|               292 | 10 |     READY |   RUNNING |
|               297 | 10 |   RUNNING |   WAITING |
|               300 | 30 |   WAITING |     READY |
|               300 | 30 |     READY |   RUNNING |
|               304 | 20 |   WAITING |     READY |
|               307 | 10 |   WAITING |     READY |
|               310 | 30 |   RUNNING |   WAITING |
|               310 | 20 |     READY |   RUNNING |
|               317 | 20 |   RUNNING |   WAITING |
|               317 | 10 |     READY |   RUNNING |
|               322 | 10 |   RUNNING |   WAITING |
|               325 | 30 |   WAITING |     READY |
|               325 | 30 |     READY |   RUNNING |
|               329 | 20 |   WAITING |     READY |
|               332 | 10 |   WAITING |     READY |
|               335 | 30 |   RUNNING |   WAITING |
|               335 | 20 |     READY |   RUNNING |
|               342 | 20 |   RUNNING |   WAITING |
|               342 | 10 |     READY |   RUNNING |
|               347 | 10 |   RUNNING |   WAITING |
|               350 | 30 |   WAITING |     READY |
