+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|               370 | 20 |     READY |   RUNNING |
|               377 | 20 |   RUNNING |   WAITING |
|               380 | 30 |   WAITING |     READY |
|               380 | 10 |   WAITING |     READY |
|               380 | 10 |     READY |   RUNNING |
|               385 | 10 |   RUNNING |   WAITING |
|               385 | 30 |     READY |   RUNNING |
|               389 | 20 |   WAITING |     READY |
|               395 | 10 |   WAITING |     READY |
|               395 | 30 |   RUNNING |   WAITING |
|               395 | 10 |     READY |   RUNNING |
|               400 | 10 |   RUNNING |   WAITING |
|               400 | 20 |     READY |   RUNNING |
|               407 | 20 |   RUNNING |   WAITING |
|               410 | 30 |   WAITING |     READY |
|               410 | 10 |   WAITING |     READY |
|               410 | 10 |     READY |   RUNNING |
|               415 | 10 |   RUNNING |   WAITING |
|               415 | 30 |     READY |   RUNNING |
|               419 | 20 |   WAITING |     READY |
|               425 | 10 |   WAITING |     READY |
|               425 | 30 |   RUNNING |   WAITING |
|               425 | 10 |     READY |   RUNNING |
|               430 | 10 |   RUNNING |   WAITING |
|               430 | 20 |     READY |   RUNNING |
|               437 | 20 |   RUNNING |   WAITING |
|               440 | 30 |   WAITING |     READY |
|               440 | 10 |   WAITING |     READY |
|               440 | 10 |     READY |   RUNNING |
|               445 | 10 |   RUNNING |   WAITING |
|               445 | 30 |     READY |   RUNNING |
|               449 | 20 |   WAITING |     READY |
|               455 | 10 |   WAITING |     READY |
|               455 | 30 |   RUNNING |   WAITING |
|               455 | 10 |     READY |   RUNNING |
|               460 | 10 |   RUNNING |   WAITING |
|               460 | 20 |     READY |   RUNNING |
|               467 | 20 |   RUNNING |   WAITING |
|               470 | 30 |   WAITING |     READY |
|               470 | 10 |   WAITING |     READY |
|               470 | 10 |     READY |   RUNNING |
|               475 | 10 |   RUNNING |   WAITING |
|               475 | 30 |     READY |   RUNNING |
|               479 | 20 |   WAITING |     READY |
|               485 | 10 |   WAITING |     READY |
|               485 | 30 |   RUNNING |   WAITING |
|               485 | 10 |     READY |   RUNNING |
|               490 | 10 |   RUNNING |   WAITING |
|               490 | 20 |     READY |   RUNNING |
|               497 | 20 |   RUNNING |   WAITING |
|               500 | 30 |   WAITING |     READY |
|               500 | 10 |   WAITING |     READY |
|               500 | 10 |     READY |   RUNNING |
|               505 | 10 |   RUNNING |   WAITING |
|               505 | 30 |     READY |   RUNNING |
|               509 | 20 |   WAITING |     READY |
|               515 | 10 |   WAITING |     READY |
|               515 | 30 |   RUNNING |   WAITING |
|               515 | 10 |     READY |   RUNNING |
|               520 | 10 |   RUNNING |   WAITING |
|               520 | 20 |     READY |   RUNNING |
|               527 | 20 |   RUNNING |   WAITING |
|               530 | 30 |   WAITING |     READY |
|               530 | 10 |   WAITING |     READY |
|               530 | 10 |     READY |   RUNNING |
|               535 | 10 |   RUNNING |   WAITING |
|               535 | 30 |     READY |   RUNNING |
|               539 | 20 |   WAITING |     READY |
|               545 | 10 |   WAITING |     READY |
|               545 | 30 |   RUNNING |   WAITING |
|               545 | 10 |     READY |   RUNNING |
|               550 | 10 |   RUNNING |   WAITING |
|               550 | 20 |     READY |   RUNNING |
|               557 | 20 |   RUNNING |   WAITING |
|               560 | 30 |   WAITING |     READY |
|               560 | 10 |   WAITING |     READY |
|               560 | 10 |     READY |   RUNNING |
|               565 | 10 |   RUNNING |   WAITING |
|               565 | 30 |     READY |   RUNNING |
|               569 | 20 |   WAITING |     READY |
|               575 | 10 |   WAITING |     READY |
|               575 | 30 |   RUNNING |   WAITING |
|               575 | 10 |     READY |   RUNNING |
|               580 | 10 |   RUNNING |   WAITING |
|               580 | 20 |     READY |   RUNNING |
|               587 | 20 |   RUNNING |   WAITING |
|               590 | 30 |   WAITING |     READY |
|               590 | 10 |   WAITING |     READY |
|               590 | 10 |     READY |   RUNNING |
|               595 | 10 |   RUNNING |   WAITING |
|               595 | 30 |     READY |   RUNNING |
|               599 | 20 |   WAITING |     READY |
|               605 | 10 |   WAITING |     READY |
|               605 | 30 |   RUNNING |   WAITING |
|               605 | 10 |     READY |   RUNNING |
|               610 | 10 |   RUNNING |   WAITING |
|               610 | 20 |     READY |   RUNNING |
|               617 | 20 |   RUNNING |   WAITING |
|               620 | 30 |   WAITING |     READY |
|               620 | 10 |   WAITING |     READY |
|               620 | 10 |     READY |   RUNNING |
|               625 | 10 |   RUNNING |   WAITING |
|               625 | 30 |     READY |   RUNNING |
|               629 | 20 |   WAITING |     READY |
|               635 | 10 |   WAITING |     READY |
|               635 | 30 |   RUNNING |   WAITING |
