+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 20 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 5 | 10 |   RUNNING |   WAITING |
|                 5 | 20 |     READY |   RUNNING |
|                12 | 20 |   RUNNING |   WAITING |
|                15 | 10 |   WAITING |     READY |
|                15 | 10 |     READY |   RUNNING |
|                20 | 10 |   RUNNING |   WAITING |
|                24 | 10 |   WAITING |     READY |
|                24 | 20 |     READY |   RUNNING |
|                30 | 10 |   WAITING |     READY |
|                30 | 20 |   RUNNING |     READY |
|                30 | 10 |     READY |   RUNNING |
|                35 | 10 |   RUNNING |   WAITING |
|                35 | 20 |     READY |   RUNNING |
|                36 | 20 |   RUNNING |   WAITING |
|                45 | 20 |   WAITING |     READY |
|                45 | 10 |     READY |   RUNNING |
|                48 | 20 |   WAITING |     READY |
|                50 | 30 |       NEW |     READY |
|                50 | 10 |   RUNNING |   WAITING |
|                50 | 20 |     READY |   RUNNING |
|                57 | 20 |   RUNNING |   WAITING |
|                57 | 30 |     READY |   RUNNING |
|                60 | 20 |   WAITING |     READY |
|                60 | 30 |   RUNNING |     READY |
|                60 | 10 |     READY |   RUNNING |
|                65 | 10 |   RUNNING |   WAITING |
|                65 | 30 |     READY |   RUNNING |
|                69 | 10 |   WAITING |     READY |
|                69 | 30 |   RUNNING |     READY |
|                69 | 20 |     READY |   RUNNING |
|                75 | 10 |   WAITING |     READY |
|                75 | 20 |   RUNNING |     READY |
|                75 | 10 |     READY |   RUNNING |
|                80 | 10 |   RUNNING |   WAITING |
|                80 | 20 |     READY |   RUNNING |
|                81 | 20 |   RUNNING |   WAITING |
|                81 | 30 |     READY |   RUNNING |
|                84 | 30 |   RUNNING |   WAITING |
|                90 | 20 |   WAITING |     READY |
|                90 | 10 |     READY |   RUNNING |
|                93 | 30 |   WAITING |     READY |
|                95 | 10 |   RUNNING |   WAITING |
|                95 | 20 |     READY |   RUNNING |
|                99 | 10 |   WAITING |     READY |
|               102 | 20 |   RUNNING |   WAITING |
|               102 | 30 |     READY |   RUNNING |
|               105 | 20 |   WAITING |     READY |
|               105 | 30 |   RUNNING |     READY |
|               105 | 10 |     READY |   RUNNING |
|               110 | 10 |   RUNNING |   WAITING |
|               110 | 30 |     READY |   RUNNING |
|               114 | 10 |   WAITING |     READY |
|               114 | 30 |   RUNNING |     READY |
|               114 | 20 |     READY |   RUNNING |
|               120 | 10 |   WAITING |     READY |
|               120 | 20 |   RUNNING |     READY |
|               120 | 10 |     READY |   RUNNING |
|               125 | 10 |   RUNNING |   WAITING |
|               125 | 20 |     READY |   RUNNING |
|               126 | 20 |   RUNNING |   WAITING |
|               126 | 30 |     READY |   RUNNING |
|               129 | 30 |   RUNNING |   WAITING |
|               135 | 20 |   WAITING |     READY |
|               135 | 10 |     READY |   RUNNING |
|               138 | 30 |   WAITING |     READY |
|               140 | 10 |   RUNNING |   WAITING |
|               140 | 20 |     READY |   RUNNING |
|               144 | 10 |   WAITING |     READY |
|               147 | 20 |   RUNNING |   WAITING |
|               147 | 30 |     READY |   RUNNING |
|               150 | 20 |   WAITING |     READY |
|               150 | 30 |   RUNNING |     READY |
|               150 | 10 |     READY |   RUNNING |
|               155 | 10 |   RUNNING |   WAITING |
|               155 | 30 |     READY |   RUNNING |
|               159 | 10 |   WAITING |     READY |
|               159 | 30 |   RUNNING |     READY |
|               159 | 20 |     READY |   RUNNING |
|               165 | 10 |   WAITING |     READY |
|               165 | 20 |   RUNNING |     READY |
|               165 | 10 |     READY |   RUNNING |
|               170 | 10 |   RUNNING |   WAITING |
|               170 | 20 |     READY |   RUNNING |
|               171 | 20 |   RUNNING |   WAITING |
|               171 | 30 |     READY |   RUNNING |
|               174 | 30 |   RUNNING |   WAITING |
|               180 | 20 |   WAITING |     READY |
|               180 | 10 |     READY |   RUNNING |
|               183 | 30 |   WAITING |     READY |
|               185 | 10 |   RUNNING |   WAITING |
|               185 | 20 |     READY |   RUNNING |
|               189 | 10 |   WAITING |     READY |
|               192 | 20 |   RUNNING |   WAITING |
|               192 | 30 |     READY |   RUNNING |
|               195 | 20 |   WAITING |     READY |
|               195 | 30 |   RUNNING |     READY |
|               195 | 10 |     READY |   RUNNING |
|               200 | 10 |   RUNNING |   WAITING |
|               200 | 30 |     READY |   RUNNING |
|               204 | 10 |   WAITING |     READY |
|               204 | 30 |   RUNNING |     READY |
|               204 | 20 |     READY |   RUNNING |
|               210 | 10 |   WAITING |     READY |
|               210 | 20 |   RUNNING |     READY |
|               210 | 10 |     READY |   RUNNING |
|               215 | 10 |   RUNNING |   WAITING |
|               215 | 20 |     READY |   RUNNING |
|               216 | 20 |   RUNNING |   WAITING |
|               216 | 30 |     READY |   RUNNING |
|               219 | 30 |   RUNNING |   WAITING |
|               225 | 20 |   WAITING |     READY |
|               225 | 10 |     READY |   RUNNING |
|               228 | 30 |   WAITING |     READY |
|               230 | 10 |   RUNNING |   WAITING |
|               230 | 20 |     READY |   RUNNING |
|               234 | 10 |   WAITING |     READY |
|               237 | 20 |   RUNNING |   WAITING |
|               237 | 30 |     READY |   RUNNING |
|               240 | 20 |   WAITING |     READY |
|               240 | 30 |   RUNNING |     READY |
|               240 | 10 |     READY |   RUNNING |
|               245 | 10 |   RUNNING |   WAITING |
|               245 | 30 |     READY |   RUNNING |
|               249 | 10 |   WAITING |     READY |
|               249 | 30 |   RUNNING |     READY |
