+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                 2 |  2 |       NEW |     READY |
|                 2 |  1 |   RUNNING |   WAITING |
|                 2 |  2 |     READY |   RUNNING |
|                 3 |  2 |   RUNNING |   WAITING |
|                 7 |  1 |   WAITING |     READY |
|                 7 |  1 |     READY |   RUNNING |
|                 9 |  3 |       NEW |     READY |
|                 9 |  1 |   RUNNING |   WAITING |
|                 9 |  3 |     READY |   RUNNING |
|                10 |  2 |   WAITING |     READY |
|                10 |  3 |   RUNNING |     READY |
|                10 |  2 |     READY |   RUNNING |
|                11 |  2 |   RUNNING |   WAITING |
|                11 |  3 |     READY |   RUNNING |
|                14 |  1 |   WAITING |     READY |
|                14 |  3 |   RUNNING |     READY |
|                14 |  1 |     READY |   RUNNING |
|                16 |  1 |   RUNNING |   WAITING |
|                16 |  3 |     READY |   RUNNING |
|                17 |  3 |   RUNNING |   WAITING |
|                18 |  2 |   WAITING |     READY |
|                18 |  2 |     READY |   RUNNING |
|                19 |  2 |   RUNNING |   WAITING |
|                21 |  1 |   WAITING |     READY |
|                21 |  1 |     READY |   RUNNING |
|                23 |  1 |   RUNNING |   WAITING |
|                26 |  2 |   WAITING |     READY |
|                26 |  2 |     READY |   RUNNING |
|                27 |  3 |   WAITING |     READY |
|                27 |  2 |   RUNNING |   WAITING |
|                27 |  3 |     READY |   RUNNING |
|                28 |  1 |   WAITING |     READY |
|                28 |  3 |   RUNNING |     READY |
|                28 |  1 |     READY |   RUNNING |
|                30 |  1 |   RUNNING |   WAITING |
|                30 |  3 |     READY |   RUNNING |
|                34 |  2 |   WAITING |     READY |
|                34 |  3 |   RUNNING |     READY |
|                34 |  2 |     READY |   RUNNING |
|                35 |  1 |   WAITING |     READY |
|                35 |  2 |   RUNNING |     READY |
|                35 |  1 |     READY |   RUNNING |
|                37 |  1 |   RUNNING |   WAITING |
|                37 |  2 |     READY |   RUNNING |
|                42 |  1 |   WAITING |     READY |
|                42 |  2 |   RUNNING |     READY |
|                42 |  1 |     READY |   RUNNING |
|                44 |  1 |   RUNNING |   WAITING |
|                44 |  2 |     READY |   RUNNING |
|                49 |  1 |   WAITING |     READY |
|                49 |  2 |   RUNNING |     READY |
|                49 |  1 |     READY |   RUNNING |
|                51 |  1 |   RUNNING |   WAITING |
|                51 |  2 |     READY |   RUNNING |
|                56 |  1 |   WAITING |     READY |
|                56 |  2 |   RUNNING |     READY |
|                56 |  1 |     READY |   RUNNING |
|                58 |  1 |   RUNNING |   WAITING |
|                58 |  2 |     READY |   RUNNING |
|                63 |  1 |   WAITING |     READY |
|                63 |  2 |   RUNNING |     READY |
|                63 |  1 |     READY |   RUNNING |
|                65 |  1 |   RUNNING |   WAITING |
|                65 |  2 |     READY |   RUNNING |
|                70 |  1 |   WAITING |     READY |
|                70 |  2 |   RUNNING |     READY |
|                70 |  1 |     READY |   RUNNING |
|                72 |  1 |   RUNNING |   WAITING |
|                72 |  2 |     READY |   RUNNING |
|                77 |  1 |   WAITING |     READY |
|                77 |  2 |   RUNNING |     READY |
|                77 |  1 |     READY |   RUNNING |
|                79 |  1 |   RUNNING |   WAITING |
|                79 |  2 |     READY |   RUNNING |
|                84 |  1 |   WAITING |     READY |
